nombre,genero,edad,pais,anio,evento,medalla
jordan mageo,f,19,american samoa,2016,athletics women's 100 metres,na
maurren higa maggi,f,24,brazil,2000,athletics women's long jump,na
maurren higa maggi,f,32,brazil,2008,athletics women's long jump,gold
maurren higa maggi,f,36,brazil,2012,athletics women's long jump,na
karlha francesca magliocco,f,26,venezuela,2012,boxing women's flyweight,na
jorge miguel maglioni tripailaf,m,25,argentina,1992,boxing men's featherweight,na
margherita magnani,f,29,italy,2016,athletics women's 1500 metres,na
frdric magn,m,23,france,1992,cycling men's sprint,na
frdric magn,m,27,france,1996,cycling men's sprint,na
frdric magn,m,31,france,2000,cycling men's keirin,na
emmanuel magnien,m,21,france,1992,cycling men's road race individual,na
eric magnin,m,25,france,1992,cycling men's points race,na
glenn inge magnusson,m,23,sweden,1992,cycling men's road race individual,na
glenn inge magnusson,m,27,sweden,1996,cycling men's road race individual,na
glenn inge magnusson,m,31,sweden,2000,cycling men's road race individual,na
jn arnar magnsson,m,26,iceland,1996,athletics men's decathlon,na
jn arnar magnsson,m,31,iceland,2000,athletics men's decathlon,na
jn arnar magnsson,m,35,iceland,2004,athletics men's decathlon,na
khadzhimurat saygidmagomedovich magomedov,m,22,russia,1996,wrestling men's middleweight freestyle,gold
omargadzhi abdulgadzhiyevich magomedov,m,26,belarus,2016,wrestling men's light-heavyweight freestyle,na
ramazan magomedov,m,23,belarus,2008,boxing men's light-heavyweight,na
seyfula seferovich magomedov,m,21,russia,2004,taekwondo men's flyweight,na
lindiwe magwede,f,24,zimbabwe,2016,football women's football,na
rachida mahamane,f,14,niger,1996,athletics women's 5000 metres,na
bachir mahamat,m,19,chad,2016,athletics men's 400 metres,na
hasan mahboob ali,m,26,bahrain,2008,athletics men's 10000 metres,na
hasan mahboob ali,m,30,bahrain,2012,athletics men's 10000 metres,na
mahdi kamel sheltagh,m,21,iraq,2016,football men's football,na
brett steven maher,m,23,australia,1996,basketball men's basketball,na
brett steven maher,m,27,australia,2000,basketball men's basketball,na
brett steven maher,m,31,australia,2004,basketball men's basketball,na
peter kevin maher,m,32,canada,1992,athletics men's marathon,na
robyn leigh maher (gull-),f,36,australia,1996,basketball women's basketball,bronze
renjith maheshwary,m,22,india,2008,athletics men's triple jump,na
renjith maheshwary,m,26,india,2012,athletics men's triple jump,na
renjith maheshwary,m,30,india,2016,athletics men's triple jump,na
mahmoud mahgoub,m,27,egypt,1992,weightlifting men's middle-heavyweight,na
joe mahit,m,24,vanuatu,2016,judo men's half-lightweight,na
javad mahjoub,m,25,iran,2016,judo men's half-heavyweight,na
bongani wonderboy mahlangu,m,25,south africa,2004,boxing men's lightweight,na
duncan mahlangu,m,21,south africa,2004,taekwondo men's featherweight,na
awad sayed mahmoud,m,29,sudan,1992,judo men's lightweight,na
mohamed mahmoud abdu khalifa,m,25,egypt,1996,boxing men's light-heavyweight,na
younis mahmoud khalef,m,21,iraq,2004,football men's football,na
youssef adam mahmoud,m,19,qatar,1992,football men's football,na
hussain mahmoudi shahvar,m,30,iran,1992,cycling men's road race individual,na
hussain mahmoudi shahvar,m,30,iran,1992,cycling men's 100 kilometres team time trial,na
dominic jan graham mahony,m,28,great britain,1992,modern pentathlon men's individual,na
dominic jan graham mahony,m,28,great britain,1992,modern pentathlon men's team,na
atlee anthony mahorn,m,26,canada,1992,athletics men's 100 metres,na
atlee anthony mahorn,m,26,canada,1992,athletics men's 200 metres,na
maziah mahusin,f,19,brunei,2012,athletics women's 400 metres,na
mai kangde,m,23,china,2000,boxing men's bantamweight,na
edi silva maia,m,24,portugal,2012,athletics men's pole vault,na
maryna serhivna maidanova,f,21,ukraine,2004,athletics women's 200 metres,na
zacharia maidjida,m,23,central african republic,1992,athletics men's 800 metres,na
zacharia maidjida,m,23,central african republic,1992,athletics men's 1500 metres,na
leonie rebekka maier,f,23,germany,2016,football women's football,gold
hamchtou maga-ba,f,30,mali,2008,basketball women's basketball,na
george maina kinianjui,m,22,kenya,1996,boxing men's lightweight,na
simon tsotang maine,m,33,lesotho,2008,athletics men's marathon,na
leonardo andrs leo mainoldi,m,31,argentina,2016,basketball men's basketball,na
pascale mainville,f,19,canada,1992,judo women's lightweight,na
ulrike maisch (-friedrich),f,27,germany,2004,athletics women's marathon,na
brian maisonneuve,m,23,united states,1996,football men's football,na
gustavo a. majauskas manfredi,m,26,argentina,1992,weightlifting men's featherweight,na
gustavo a. majauskas manfredi,m,30,argentina,1996,weightlifting men's featherweight,na
katarzyna mirosawa majchrzak (-waniewska),f,25,poland,1992,athletics women's high jump,na
duan majdn,m,28,slovakia,2016,athletics men's 50 kilometres walk,na
christine majerus,f,25,luxembourg,2012,cycling women's road race individual,na
christine majerus,f,29,luxembourg,2016,cycling women's road race individual,na
christine majerus,f,29,luxembourg,2016,cycling women's individual time trial,na
bartosz majewski,m,21,poland,2008,modern pentathlon men's individual,na
nobuhle majika,f,25,zimbabwe,2016,football women's football,na
rafa majka,m,26,poland,2016,cycling men's road race individual,bronze
eisa majrashi,m,26,saudi arabia,2012,judo men's extra-lightweight,na
amel majri,f,23,france,2016,football women's football,na
mak so ning tania,f,21,hong kong,2008,triathlon women's olympic distance,na
roy rudolphus antonius makaay,m,33,netherlands,2008,football men's football,na
yves makabu-makalambay,m,22,belgium,2008,football men's football,na
mdard makanga,m,25,congo (brazzaville),1992,athletics men's 200 metres,na
mdard makanga,m,25,congo (brazzaville),1992,athletics men's 400 metres,na
iakob makarashvili,m,30,georgia,2016,wrestling men's middleweight freestyle,na
andriy volodymyrovych makarchev,m,22,ukraine,2008,athletics men's long jump,na
aleksandr aleksandrovich makarenko,m,22,belarus,2012,weightlifting men's middle-heavyweight,na
yevgeny mikhaylovich makarenko,m,28,russia,2004,boxing men's light-heavyweight,na
anatoly vasilyevich makarevich,m,22,unified team,1992,athletics men's 800 metres,na
andrey anatolyevich makarov,m,29,belarus,2000,athletics men's 20 kilometres walk,na
andrey makarov,m,24,kazakhstan,1996,weightlifting men's middle-heavyweight,na
andrey makarov,m,28,kazakhstan,2000,weightlifting men's middle-heavyweight,na
igor viktorovich makarov,m,25,belarus,2004,judo men's half-heavyweight,gold
igor viktorovich makarov,m,33,belarus,2012,judo men's heavyweight,na
ruslan makarov,m,25,uzbekistan,2012,weightlifting men's bantamweight,na
vitaly valeryevich makarov,m,26,russia,2000,judo men's lightweight,na
vitaly valeryevich makarov,m,30,russia,2004,judo men's lightweight,silver
miroslav botev makaveev,m,19,bulgaria,1992,wrestling men's heavyweight freestyle,na
meri kristiina mkel,f,23,finland,2016,athletics women's triple jump,na
claude makll sinda,m,23,france,1996,football men's football,na
masibulele makepula,m,23,south africa,1996,boxing men's light-flyweight,na
mammello makhabane,f,28,south africa,2016,football women's football,na
themba makhanya,m,25,swaziland,1996,athletics men's 800 metres,na
makhgalyn bayarjavkhlan,m,30,mongolia,2008,judo men's heavyweight,na
taoufik makhloufi,m,24,algeria,2012,athletics men's 800 metres,na
taoufik makhloufi,m,24,algeria,2012,athletics men's 1500 metres,gold
taoufik makhloufi,m,28,algeria,2016,athletics men's 800 metres,silver
taoufik makhloufi,m,28,algeria,2016,athletics men's 1500 metres,silver
dilshod makhmudov,m,21,uzbekistan,2004,boxing men's light-welterweight,na
dilshod makhmudov,m,25,uzbekistan,2008,boxing men's welterweight,na
bilyal valeryevich makhov,m,24,russia,2012,wrestling men's super-heavyweight freestyle,bronze
bilyal valeryevich makhov,m,28,russia,2016,wrestling men's super-heavyweight freestyle,na
gennady nikolayevich makhveyenya,m,24,belarus,2008,weightlifting men's featherweight,na
izumi maki (-yamaoka),f,23,japan,1992,athletics women's 10000 metres,na
izumi maki (-yamaoka),f,27,japan,1996,athletics women's marathon,na
precious makina,m,22,zambia,2008,boxing men's welterweight,na
rutendo makore,f,23,zimbabwe,2016,football women's football,na
kamongwa salukombo makorobondo,m,27,congo (kinshasa),2016,athletics men's marathon,na
sheila makoto,f,26,zimbabwe,2016,football women's football,na
felicit makounawode,f,21,central african republic,1992,judo women's half-middleweight,na
krzysztof maksel,m,25,poland,2016,cycling men's keirin,na
krzysztof maksel,m,25,poland,2016,cycling men's team sprint,na
dmitry maksimov,m,23,russia,2000,athletics men's 10000 metres,na
dmitry valeryevich maksimov,m,26,russia,2004,judo men's half-heavyweight,na
yana eduardovna maksimova,f,19,belarus,2008,athletics women's heptathlon,na
yana eduardovna maksimova,f,23,belarus,2012,athletics women's heptathlon,na
dina maksutova,f,22,unified team,1992,judo women's half-lightweight,na
beata elbieta maksymowa,f,24,poland,1992,judo women's heavyweight,na
beata elbieta maksymowa,f,28,poland,1996,judo women's heavyweight,na
beata elbieta maksymowa,f,33,poland,2000,judo women's heavyweight,na
saidi juma makula,m,22,tanzania,2016,athletics men's marathon,na
ngonidzashe ngoni makusha,m,21,zimbabwe,2008,athletics men's long jump,na
isaac makwala,m,25,botswana,2012,athletics men's 400 metres,na
isaac makwala,m,29,botswana,2016,athletics men's 400 metres,na
romana malov,f,29,czech republic,2016,athletics women's pole vault,na
moses malagu,m,19,nigeria,1992,boxing men's flyweight,na
hedaya ahmad malak wahba,f,19,egypt,2012,taekwondo women's featherweight,na
hedaya ahmad malak wahba,f,23,egypt,2016,taekwondo women's featherweight,bronze
waldemar malak,m,22,poland,1992,weightlifting men's heavyweight i,bronze
raimkul khadoynazarovich malakhbekov,m,21,russia,1996,boxing men's bantamweight,bronze
raimkul khadoynazarovich malakhbekov,m,26,russia,2000,boxing men's bantamweight,silver
arturo malaquias delgado,m,37,mexico,2012,athletics men's marathon,na
sonia malavisi,f,21,italy,2016,athletics women's pole vault,na
suzanne frances sue malaxos,f,34,australia,1996,athletics women's marathon,na
galina vyacheslavovna malchugina (mikheyeva-),f,29,unified team,1992,athletics women's 200 metres,na
galina vyacheslavovna malchugina (mikheyeva-),f,33,russia,1996,athletics women's 200 metres,na
christian sean malcolm,m,21,great britain,2000,athletics men's 200 metres,na
christian sean malcolm,m,25,great britain,2004,athletics men's 200 metres,na
christian sean malcolm,m,29,great britain,2008,athletics men's 200 metres,na
christian sean malcolm,m,33,great britain,2012,athletics men's 200 metres,na
claudio andrs del trnsito maldonado rivera,m,20,chile,2000,football men's football,bronze
dora maldonado,f,25,honduras,1996,judo women's extra-lightweight,na
leonidas maleckis,m,26,lithuania,1992,boxing men's light-middleweight,na
hamed malekmohammadi memar,m,21,iran,2004,judo men's lightweight,na
hamed malekmohammadi memar,m,25,iran,2008,judo men's half-middleweight,na
repo terciuos malepe,m,19,south africa,2016,football men's football,na
tamara maleev,f,25,individual olympic athletes,1992,athletics women's long jump,na
aleksandr ivanovich maletin,m,25,russia,2000,boxing men's lightweight,bronze
aleksandr ivanovich maletin,m,29,russia,2004,boxing men's light-welterweight,na
arnaud malherbe,m,23,south africa,1996,athletics men's 400 metres,na
arnaud malherbe,m,27,south africa,2000,athletics men's 400 metres,na
stephanie hana steph malherbe,f,20,south africa,2016,football women's football,na
sakshi malik,f,23,india,2016,wrestling women's lightweight freestyle,bronze
tefan malk,m,30,slovakia,1996,athletics men's 50 kilometres walk,na
tefan malk,m,34,slovakia,2000,athletics men's 50 kilometres walk,na
zuzana malkov,f,21,slovakia,2004,athletics women's 20 kilometres walk,na
zuzana malkov,f,25,slovakia,2008,athletics women's 20 kilometres walk,na
alex malinga,m,26,uganda,2000,athletics men's marathon,na
alex malinga,m,34,uganda,2008,athletics men's marathon,na
anna maliszewska,f,23,poland,2016,modern pentathlon women's individual,na
el mehdi al-malki,m,24,morocco,2012,judo men's heavyweight,na
oveyss mallahi,m,25,iran,1992,wrestling men's bantamweight freestyle,na
karnam malleswari,f,25,india,2000,weightlifting women's light-heavyweight,bronze
karnam malleswari,f,29,india,2004,weightlifting women's middleweight,na
martilou marti malloy,f,26,united states,2012,judo women's lightweight,bronze
martilou marti malloy,f,30,united states,2016,judo women's lightweight,na
miguel mallqui,m,24,peru,1996,athletics men's marathon,na
jeanette marianne malm,f,28,sweden,2000,modern pentathlon women's individual,na
hanne malmberg,f,27,denmark,1992,cycling women's individual pursuit 3000 metres,na
john malois,m,21,canada,1992,cycling men's points race,na
jessica malone,f,17,australia,2004,judo women's heavyweight,na
karl malone,m,29,united states,1992,basketball men's basketball,gold
karl malone,m,32,united states,1996,basketball men's basketball,gold
maicel donee malone (-wallace -trapp),f,27,united states,1996,athletics women's 400 metres,na
bradley john brad maloney,m,20,australia,1992,football men's football,na
dival forele malonga dzalamou,m,21,congo (brazzaville),2016,boxing men's light-welterweight,na
ali maloumat,m,26,iran,2008,judo men's lightweight,na
joe maloy,m,30,united states,2016,triathlon men's olympic distance,na
oleg vitalyevich maltsev,m,24,unified team,1992,judo men's middleweight,na
oleg vitalyevich maltsev,m,28,russia,1996,judo men's middleweight,na
evanthia maltsi,f,25,greece,2004,basketball women's basketball,na
vladimir eduardovich malyavin,m,23,turkmenistan,1996,athletics men's long jump,na
vladimir eduardovich malyavin,m,27,russia,2000,athletics men's long jump,na
vladimir eduardovich malyavin,m,35,russia,2008,athletics men's long jump,na
ji malysa,m,29,czech republic,1996,athletics men's 20 kilometres walk,na
ji malysa,m,34,czech republic,2000,athletics men's 20 kilometres walk,na
ji malysa,m,37,czech republic,2004,athletics men's 20 kilometres walk,na
claudia malzahn,f,28,germany,2012,judo women's half-middleweight,na
luise malzahn,f,26,germany,2016,judo women's half-heavyweight,na
jucimara evangelista mam do nascimento dantas,f,30,brazil,2008,basketball women's basketball,na
takhir mamashayev,m,28,kazakhstan,2008,athletics men's marathon,na
nataliya mamatova,f,26,uzbekistan,2012,taekwondo women's heavyweight,na
nursultan mamayev,m,19,kazakhstan,2012,taekwondo men's flyweight,na
priscilla innocentia lungile mamba,f,28,swaziland,2000,athletics women's 5000 metres,na
lucien hugo mamba-schlick,m,26,cameroon,2008,athletics men's triple jump,na
chingiz mamedov,m,23,kyrgyzstan,2012,judo men's middleweight,na
svitlana mykhailivna mamieieva,f,26,ukraine,2008,athletics women's triple jump,na
yuka mamiya,f,26,japan,2016,basketball women's basketball,na
patrcia mbengani bravo mamona,f,23,portugal,2012,athletics women's triple jump,na
patrcia mbengani bravo mamona,f,27,portugal,2016,athletics women's triple jump,na
mariya ruslanovna mamoshuk,f,23,belarus,2016,wrestling women's middleweight freestyle,silver
mariama mamoudou ittatou,f,19,niger,2016,athletics women's 400 metres,na
grigol mamrikishvili,m,23,georgia,2004,judo men's half-middleweight,na
maulen satymbayevich mamyrov,m,25,kazakhstan,1996,wrestling men's flyweight freestyle,bronze
maulen satymbayevich mamyrov,m,29,kazakhstan,2000,wrestling men's bantamweight freestyle,na
kazuyuki manabe,m,26,japan,1996,cycling men's road race individual,na
ahmed manajid abbas,m,22,iraq,2004,football men's football,na
bernard manana,m,20,papua new guinea,1992,athletics men's 100 metres,na
elijah motonei manangoi,m,23,kenya,2016,athletics men's 1500 metres,na
eleuterio mancebo herrero,m,23,spain,1992,cycling men's road race individual,na
eleuterio mancebo herrero,m,23,spain,1992,cycling men's 100 kilometres team time trial,na
raffaele mancino,m,30,italy,1996,weightlifting men's middle-heavyweight,na
elisabeth victoire mandaba,f,23,central african republic,2012,athletics women's 800 metres,na
elisabeth victoire mandaba,f,27,central african republic,2016,athletics women's 800 metres,na
talent mandaza,f,30,zimbabwe,2016,football women's football,na
derek mandell,m,21,guam,2008,athletics men's 800 metres,na
derek mandell,m,25,guam,2012,athletics men's 800 metres,na
jean-louis mandengue,m,24,france,1996,boxing men's light-heavyweight,na
milica mandi,f,20,serbia,2012,taekwondo women's heavyweight,gold
milica mandi,f,24,serbia,2016,taekwondo women's heavyweight,na
sandra mandir (popovi-),f,34,croatia,2012,basketball women's basketball,na
georges constant mandjeck,m,19,cameroon,2008,football men's football,na
innar mndoja,m,22,estonia,2000,cycling men's road race individual,na
rene mandri,m,28,estonia,2012,cycling men's road race individual,na
florencia mandrile nez,f,20,argentina,2008,football women's football,na
mark mandy,m,23,ireland,1996,athletics men's high jump,na
carlos manuel cardoso man,m,22,portugal,2016,football men's football,na
ousmane man,m,21,senegal,2012,football men's football,na
sadio man,m,20,senegal,2012,football men's football,na
jutatip maneephan,f,24,thailand,2012,cycling women's road race individual,na
jutatip maneephan,f,28,thailand,2016,cycling women's road race individual,na
pongsak maneetong,m,22,thailand,2008,weightlifting men's bantamweight,na
davide manenti,m,27,italy,2016,athletics men's 200 metres,na
milka mikova maneva,f,27,bulgaria,2012,weightlifting women's middleweight,na
maiya salakharovna maneza,f,26,kazakhstan,2012,weightlifting women's middleweight,gold
valentino manfredonia,m,26,italy,2016,boxing men's light-heavyweight,na
vronique mang,f,19,france,2004,athletics women's 100 metres,na
vronique mang,f,27,france,2012,athletics women's 100 metres,na
vincenzo mangiacapre,m,23,italy,2012,boxing men's light-welterweight,bronze
vincenzo mangiacapre,m,27,italy,2016,boxing men's welterweight,na
eduardo mangls,m,24,venezuela,2000,judo men's lightweight,na
hermgoras mangls,m,26,venezuela,2000,judo men's half-middleweight,na
holley mangold,f,22,united states,2012,weightlifting women's super-heavyweight,na
ruth mangue nve,f,17,equatorial guinea,1992,athletics women's 200 metres,na
ruth mangue nve,f,17,equatorial guinea,1992,athletics women's 400 metres,na
myriam lonie mani,f,23,cameroon,1996,athletics women's 100 metres,na
myriam lonie mani,f,27,cameroon,2000,athletics women's 100 metres,na
myriam lonie mani,f,27,cameroon,2000,athletics women's 200 metres,na
myriam lonie mani,f,35,cameroon,2008,athletics women's 100 metres,na
ludmila manicler,f,21,argentina,2008,football women's football,na
christine patience manie,f,28,cameroon,2012,football women's football,na
m. d. sriyani dhammika manike,f,22,sri lanka,1992,athletics women's 800 metres,na
m. d. sriyani dhammika manike,f,22,sri lanka,1992,athletics women's 1500 metres,na
francis manioru,m,22,solomon islands,2004,athletics men's 100 metres,na
francis manioru,m,26,solomon islands,2008,athletics men's 100 metres,na
itzel adilene manjarrez bastidas,f,26,mexico,2016,taekwondo women's flyweight,na
noelly mankatu bibiche,f,23,congo (kinshasa),2004,athletics women's 800 metres,na
johanna katriina manninen,f,20,finland,2000,athletics women's 200 metres,na
johanna katriina manninen,f,24,finland,2004,athletics women's 100 metres,na
johanna katriina manninen,f,24,finland,2004,athletics women's 200 metres,na
anne patricia manning (-pembroke),f,36,australia,1996,athletics women's 10 kilometres walk,na
paul christian manning,m,25,great britain,2000,cycling men's team pursuit 4000 metres,bronze
paul christian manning,m,29,great britain,2004,cycling men's team pursuit 4000 metres,silver
paul christian manning,m,33,great britain,2008,cycling men's team pursuit 4000 metres,gold
sergio mannironi,m,33,italy,2000,weightlifting men's light-heavyweight,na
asenate manoa,f,16,tuvalu,2008,athletics women's 100 metres,na
asenate manoa,f,20,tuvalu,2012,athletics women's 100 metres,na
melrose mansaray,f,20,sierra leone,1992,athletics women's 200 metres,na
melrose mansaray,f,20,sierra leone,1992,athletics women's 400 metres,na
melrose mansaray,f,24,sierra leone,1996,athletics women's 400 metres,na
nadjim manseur,m,20,algeria,2008,athletics men's 800 metres,na
luis miguel mansilla almonacid,m,25,chile,2012,cycling men's omnium,na
andra kareem manson,m,24,united states,2008,athletics men's high jump,na
talal mansour bakhit al-rahim,m,28,qatar,1992,athletics men's 100 metres,na
abderrahmane mansouri,m,21,algeria,2016,cycling men's road race individual,na
tahar mansouri,m,31,tunisia,1996,athletics men's marathon,na
tahar mansouri,m,35,tunisia,2000,athletics men's marathon,na
esmat mansur al-sayyid ahmed,f,25,egypt,2012,weightlifting women's light-heavyweight,na
dilshod mansurov,m,20,uzbekistan,2004,wrestling men's featherweight freestyle,na
dilshod mansurov,m,24,uzbekistan,2008,wrestling men's featherweight freestyle,na
dilshod mansurov,m,28,uzbekistan,2012,wrestling men's featherweight freestyle,na
rishat mansurov,m,27,kazakhstan,1996,weightlifting men's light-heavyweight,na
manuel mantilla rodrguez,m,26,cuba,2000,boxing men's flyweight,na
athanasios thanos mantzouranis,m,26,greece,2008,cycling men's keirin,na
athanasios thanos mantzouranis,m,26,greece,2008,cycling men's team sprint,na
darcina-rose manuel,f,23,new zealand,2016,judo women's lightweight,na
ellsworth manuel,m,28,netherlands antilles,1996,athletics men's long jump,na
nadir graciete  de ftima manuel,f,25,angola,2012,basketball women's basketball,na
valentin manushev,m,28,uzbekistan,1996,weightlifting men's heavyweight ii,na
yana manuylova,f,24,ukraine,1996,athletics women's 400 metres,na
luvo manyonga,m,25,south africa,2016,athletics men's long jump,silver
gyuzel tagirovna manyurova,f,26,russia,2004,wrestling women's heavyweight freestyle,silver
gyuzel tagirovna manyurova,f,34,kazakhstan,2012,wrestling women's heavyweight freestyle,bronze
gyuzel tagirovna manyurova,f,38,kazakhstan,2016,wrestling women's heavyweight freestyle,silver
daniel manz,m,20,germany,2008,taekwondo men's featherweight,na
osman roney manzanares bonilla,m,26,honduras,1992,weightlifting men's featherweight,na
hctor manzanilla rangel,m,23,venezuela,2008,boxing men's bantamweight,na
leonel ernesto leo manzano,m,23,united states,2008,athletics men's 1500 metres,na
leonel ernesto leo manzano,m,27,united states,2012,athletics men's 1500 metres,silver
elios manzi,m,20,italy,2016,judo men's extra-lightweight,na
julio csar manzur caffarena,m,23,paraguay,2004,football men's football,silver
mao xinyuan,m,25,china,1996,athletics men's 50 kilometres walk,na
arson mapfumo,m,32,zimbabwe,1996,boxing men's flyweight,na
uati maposua,m,28,samoa,2004,weightlifting men's middleweight,na
rodney john rod mapstone,m,26,australia,1996,athletics men's 100 metres,na
camalddin maqomedov,m,23,azerbaijan,2012,wrestling men's super-heavyweight freestyle,na
camalddin maqomedov,m,27,azerbaijan,2016,wrestling men's super-heavyweight freestyle,na
juliano fernando gento mquina,m,18,mozambique,2012,boxing men's light-flyweight,na
mark marabini,m,35,zimbabwe,2000,triathlon men's olympic distance,na
katura marae,f,14,vanuatu,2004,athletics women's 100 metres,na
rakiya maraoui-qutier,f,36,france,2004,athletics women's marathon,na
stephon xavier marbury,m,27,united states,2004,basketball men's basketball,bronze
palmira cristina maral,f,32,brazil,2016,basketball women's basketball,na
csar mervin marcano snchez,m,24,venezuela,2012,cycling men's team sprint,na
csar mervin marcano snchez,m,28,venezuela,2016,cycling men's sprint,na
csar mervin marcano snchez,m,28,venezuela,2016,cycling men's team sprint,na
olivier marceau,m,27,france,2000,triathlon men's olympic distance,na
olivier marceau,m,31,switzerland,2004,triathlon men's olympic distance,na
olivier marceau,m,35,switzerland,2008,triathlon men's olympic distance,na
marcel ramon ponikwar de souza,m,35,brazil,1992,basketball men's basketball,na
davor marceli,m,27,croatia,1996,basketball men's basketball,na
marcelo jos marcelinho paulista de souza,m,22,brazil,1996,football men's football,bronze
dirk antoon nico marcellis,m,20,netherlands,2008,football men's football,na
marcelo vieira da silva jnior,m,20,brazil,2008,football men's football,bronze
marcelo vieira da silva jnior,m,24,brazil,2012,football men's football,silver
rogelio marcelo garca,m,27,cuba,1992,boxing men's light-flyweight,gold
katy louise marchant,f,23,great britain,2016,cycling women's sprint,bronze
lanni marchant,f,32,canada,2016,athletics women's 10000 metres,na
lanni marchant,f,32,canada,2016,athletics women's marathon,na
carlos marchena lpez,m,21,spain,2000,football men's football,silver
nataliya olegovna marchenko,f,29,belarus,2008,basketball women's basketball,na
romain marchessou,m,22,monaco,2008,weightlifting men's middleweight,na
rolando marchinares codinas,m,25,peru,1992,weightlifting men's super-heavyweight,na
claudio marchisio,m,22,italy,2008,football men's football,na
marcin waldemar marciniszyn,m,29,poland,2012,athletics men's 400 metres,na
kstutis mariulionis,m,24,lithuania,2000,basketball men's basketball,bronze
raimondas arnas mariulionis,m,28,lithuania,1992,basketball men's basketball,bronze
raimondas arnas mariulionis,m,32,lithuania,1996,basketball men's basketball,bronze
luis alberto marco contreras,m,25,spain,2012,athletics men's 800 metres,na
dario marcolin,m,20,italy,1992,football men's football,na
denis marconato,m,25,italy,2000,basketball men's basketball,na
denis marconato,m,29,italy,2004,basketball men's basketball,silver
matteo marconcini,m,26,italy,2016,judo men's half-middleweight,na
marcos paulo alves,m,23,brazil,2000,football men's football,na
ida marcussen,f,20,norway,2008,athletics women's heptathlon,na
ida marcussen,f,24,norway,2012,athletics women's heptathlon,na
tomasz krzysztof marczyski,m,24,poland,2008,cycling men's road race individual,na
sajjad mardani,m,28,iran,2016,taekwondo men's heavyweight,na
khadija al-mardi,f,25,morocco,2016,boxing women's middleweight,na
juan marecos talavera,m,22,paraguay,1992,football men's football,na
hana mareghni,f,23,tunisia,2012,judo women's half-heavyweight,na
chiko johannes maremane,m,34,south africa,2000,athletics men's marathon,na
alvaro marenco ramos,m,25,nicaragua,1992,weightlifting men's flyweight,na
abner mares martnez,m,18,mexico,2004,boxing men's bantamweight,na
sven maresch,m,29,germany,2016,judo men's half-middleweight,na
oldika mareov,f,25,czech republic,2012,athletics women's high jump,na
cyrille maret,m,28,france,2016,judo men's half-heavyweight,bronze
toms agustn margalef dolara,m,26,uruguay,2004,cycling men's madison,na
vladimir margaryan,m,25,armenia,2016,boxing men's welterweight,na
massimo margiotta,m,23,italy,2000,football men's football,na
tams margl,m,28,hungary,2004,athletics men's long jump,na
davit margoshvili,m,24,georgia,2004,judo men's half-lightweight,na
vazha margvelashvili,m,22,georgia,2016,judo men's half-lightweight,na
ilona marhele,f,30,latvia,2016,athletics women's marathon,na
fernando mariaca gonzlez de artaza,m,33,spain,1992,weightlifting men's lightweight,na
guor marial (-mading miaker),m,28,individual olympic athletes,2012,athletics men's marathon,na
guor marial (-mading miaker),m,32,south sudan,2016,athletics men's marathon,na
claudia carolina mariani ambrueso,f,19,argentina,1992,judo women's half-lightweight,na
claudia carolina mariani ambrueso,f,23,argentina,1996,judo women's half-lightweight,na
claudia carolina mariani ambrueso,f,28,argentina,2000,judo women's half-lightweight,na
aleksandar aleks mari,m,27,australia,2012,basketball men's basketball,na
evans marie,m,21,seychelles,2004,athletics men's 400 metres,na
tomislav marijanovi,m,30,croatia,2012,judo men's half-middleweight,na
bourama mariko,m,24,mali,2004,judo men's lightweight,na
lamine marikong,m,22,gambia,1992,athletics men's 200 metres,na
lamine marikong,m,22,gambia,1992,athletics men's 400 metres,na
jos marn sospedra,m,42,spain,1992,athletics men's 50 kilometres walk,na
ruber alveiro marn valencia,m,28,colombia,1996,cycling men's road race individual,na
ruber alveiro marn valencia,m,32,colombia,2000,cycling men's road race individual,na
andreja marinkovi,m,31,serbia and montenegro,1996,athletics men's long jump,na
angela daniela marino,f,18,new zealand,2004,basketball women's basketball,na
angela daniela marino,f,22,new zealand,2008,basketball women's basketball,na
ramiro martn marino,m,19,argentina,2008,cycling men's bmx,na
tereza moncheva marinova,f,23,bulgaria,2000,athletics women's triple jump,gold
mrio srgio leal nogueira,m,23,portugal,2004,football men's football,na
shawn dwayne marion,m,26,united states,2004,basketball men's basketball,bronze
marisa pires nogueira,f,30,brazil,1996,football women's football,na
kamal marjouane,m,27,morocco,1992,boxing men's lightweight,na
marsha mark-baird,f,26,trinidad and tobago,2000,athletics women's heptathlon,na
marsha mark-baird,f,30,trinidad and tobago,2004,athletics women's heptathlon,na
vidas markeviius,m,28,lithuania,1992,boxing men's heavyweight,na
hanna gunilla marklund,f,22,sweden,2000,football women's football,na
hanna gunilla marklund,f,26,sweden,2004,football women's football,na
suren markosyan,m,23,armenia,2008,wrestling men's welterweight freestyle,na
georgios markoulas,m,21,greece,2004,weightlifting men's light-heavyweight,na
anninos markoullidis,m,25,cyprus,1996,athletics men's 100 metres,na
anninos markoullidis,m,25,cyprus,1996,athletics men's 200 metres,na
anninos markoullidis,m,29,cyprus,2000,athletics men's 100 metres,na
anninos markoullidis,m,29,cyprus,2000,athletics men's 200 metres,na
anninos markoullidis,m,33,cyprus,2004,athletics men's 200 metres,na
aleksey mikhaylovich markov,m,17,russia,1996,cycling men's individual pursuit 4000 metres,na
